granule_uid,star_name,mass,mass_error_min,mass_error_max,pl_massjlim,radius,radius_error_min,radius_error_max,pl_radjlim,rv_flag,tran_flag,ttv_flag,ima_flag,star_spec_type,flag_mE,flag_rE,mass_detection_type,radius_detection_type,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,pl_orbsmaxlim,period,period_error_min,period_error_max,pl_orbperlim,impact,inclination,star_teff,star_radius,star_mass,star_age,star_metallicity,st_metratio,st_lum,sy_snum,st_rotp,sy_pnum,cb_flag,ra,sy_dist,st_recentVenus,st_runawayGreenhouse,st_maxGreenhouse,st_earlyMars,st_half_Earth,st_five_Earth,age_flame,logg_gspphot,mass_flame,mh_gspphot,mh_gspspec,radius_flame,radius_gspphot,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,teff_msc1,ew_espels_halpha,ew_espels_halpha_model,ew_espels_halpha_flag,ew_espels_halpha_uncertainty
Kepler-52 c,Kepler-52,0.198,-0.047,0.061,,0.18,-0.008,0.011,,,1.0,1.0,,M0 V,False,False,,,0.1084,-0.00444,0.00444,,16.38478073,-4.027e-05,4.027e-05,,0.001,90.0,4116.0,0.68,0.64,3.55,0.04,[Fe/H],-0.928,1.0,,3.0,,286.7380152,321.542,1.528332842366927,0.9525778308301783,0.268476515272622,0.2413232203240833,1.0221558229792194,0.8487425087928403,,,,,,,,,,,,4397.86328125,-0.04232519865036011,-0.1469859927892685,1,0.03780501335859299
Kepler-52 d,Kepler-52,,,,,0.179,-0.01,0.012,,,1.0,1.0,,M0 V,False,False,,,0.1847,,,,36.44548195,-0.00013171,0.00013171,,0.028,89.98,4116.0,0.68,0.64,3.55,0.04,[Fe/H],-0.928,1.0,,3.0,,286.7380152,321.542,1.528332842366927,0.9525778308301783,0.268476515272622,0.2413232203240833,1.0221558229792194,0.8487425087928403,,,,,,,,,,,,4397.86328125,-0.04232519865036011,-0.1469859927892685,1,0.03780501335859299
Kepler-83 b,Kepler-83,0.132,-0.066,0.078,,0.24,-0.007,0.009,,,1.0,1.0,,M0 V,False,False,,,0.0714,-0.00284,0.00284,,9.7704486,-1.455e-05,1.455e-05,,0.09,89.84,4648.0,0.61,0.51,3.09,-0.25,[M/H],-1.102,2.0,,3.0,,282.2325197,400.409,1.5808994675260575,0.9853446574498684,0.29204362564237885,0.2625095268739295,1.057245010166179,0.8790799085063238,,,,,,,,,,,,4316.2578125,-0.06552156060934067,-0.19724200665950775,1,0.05326245352625847
Kepler-83 c,Kepler-83,0.036,-0.014,0.017,,0.241,-0.032,0.016,,,1.0,1.0,,M0 V,False,False,,,0.1154,-0.00459,0.00459,,20.09031319,-5.943e-05,5.943e-05,,0.886,87.49,4648.0,0.61,0.51,3.09,-0.25,[M/H],-1.102,2.0,,3.0,,282.2325197,400.409,1.5808994675260575,0.9853446574498684,0.29204362564237885,0.2625095268739295,1.057245010166179,0.8790799085063238,,,,,,,,,,,,4316.2578125,-0.06552156060934067,-0.19724200665950775,1,0.05326245352625847
Kepler-83 d,Kepler-83,0.077,-0.051,0.062,,0.179,-0.007,0.006,,,1.0,,,M0 V,False,False,,,0.0467,-0.00186,0.00186,,5.16981495,-9.96e-06,9.96e-06,,0.351,88.87,4648.0,0.61,0.51,3.09,-0.25,[M/H],-1.102,2.0,,3.0,,282.2325197,400.409,1.5808994675260575,0.9853446574498684,0.29204362564237885,0.2625095268739295,1.057245010166179,0.8790799085063238,,,,,,,,,,,,4316.2578125,-0.06552156060934067,-0.19724200665950775,1,0.05326245352625847
Kepler-94 b,Kepler-94,0.034,-0.004,0.004,,0.284,-0.022,0.012,,1.0,1.0,,,M0 V,False,False,,,0.034,-0.00129,0.00129,,2.50805858,-2e-07,2e-07,,0.742,86.61,4715.0,0.74,0.76,2.51,0.33,[M/H],-0.613,1.0,,2.0,,281.1947316,191.904,1.5893516219671144,0.9906142339614431,0.2953505819602765,0.2654822762839518,1.0628986171122974,0.8839228724596294,,4.552299976348877,,0.3720000088214874,0.47999998927116394,0.7651115655899048,0.7954000234603882,,,4598.90966796875,4282.0,4596.3642578125,-0.026896797120571136,-0.03058600053191185,1,0.012928815558552742
Kepler-94 c,Kepler-94,9.836,-0.629,0.629,,,,,,1.0,,,,M0 V,False,False,,,,,,,820.3,-3.0,3.0,,,,4715.0,0.74,0.76,2.51,0.33,[M/H],-0.613,1.0,,2.0,,281.1947316,191.904,1.5893516219671144,0.9906142339614431,0.2953505819602765,0.2654822762839518,1.0628986171122974,0.8839228724596294,,4.552299976348877,,0.3720000088214874,0.47999998927116394,0.7651115655899048,0.7954000234603882,,,4598.90966796875,4282.0,4596.3642578125,-0.026896797120571136,-0.03058600053191185,1,0.012928815558552742
TOI-1749 b,TOI-1749,0.17934,,,1.0,0.124,-0.017,0.019,,,1.0,,,M0 V,False,False,,,0.0291,-0.0005,0.0005,,2.38839,-0.00066,0.00031,,0.75,86.4,3985.0,0.55,0.58,0.8,-0.26,[Fe/H],,1.0,,3.0,,282.7372281,99.5561,1.5190872423083641,0.946817032252193,0.2634096373366515,0.23676789724082684,1.0160082759192974,0.8433405772453794,12.10523509979248,4.068999767303467,0.5742621421813965,-1.6124999523162842,-0.18000000715255737,0.6266716718673706,0.6223000288009644,,,3677.395263671875,3727.0,4118.943359375,-0.06262116879224777,-0.21333199739456177,1,0.01584615744650364
TOI-1749 c,TOI-1749,0.04405,,,1.0,0.189,-0.011,0.011,,,1.0,,,M0 V,False,False,,,0.0443,-0.0008,0.0008,,4.4929,-0.0027,0.0038,,0.36,88.8,3985.0,0.55,0.58,0.8,-0.26,[Fe/H],,1.0,,3.0,,282.7372281,99.5561,1.5190872423083641,0.946817032252193,0.2634096373366515,0.23676789724082684,1.0160082759192974,0.8433405772453794,12.10523509979248,4.068999767303467,0.5742621421813965,-1.6124999523162842,-0.18000000715255737,0.6266716718673706,0.6223000288009644,,,3677.395263671875,3727.0,4118.943359375,-0.06262116879224777,-0.21333199739456177,1,0.01584615744650364
TOI-1749 d,TOI-1749,0.0472,,,1.0,0.225,-0.013,0.013,,,1.0,,,M0 V,False,False,,,0.0707,-0.0012,0.0012,,9.0497,-0.0032,0.0049,,0.717,88.53,3985.0,0.55,0.58,0.8,-0.26,[Fe/H],,1.0,,3.0,,282.7372281,99.5561,1.5190872423083641,0.946817032252193,0.2634096373366515,0.23676789724082684,1.0160082759192974,0.8433405772453794,12.10523509979248,4.068999767303467,0.5742621421813965,-1.6124999523162842,-0.18000000715255737,0.6266716718673706,0.6223000288009644,,,3677.395263671875,3727.0,4118.943359375,-0.06262116879224777,-0.21333199739456177,1,0.01584615744650364
TRAPPIST-1 b,TRAPPIST-1,0.00432,-0.00022,0.00022,,0.1,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.01154,-0.0001,0.0001,,1.510826,-6e-06,6e-06,,0.095,89.728,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
TRAPPIST-1 c,TRAPPIST-1,0.00412,-0.00018,0.00018,,0.098,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.0158,-0.00013,0.00013,,2.421937,-1.8e-05,1.8e-05,,0.109,89.778,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
TRAPPIST-1 d,TRAPPIST-1,0.00122,-4e-05,4e-05,,0.07,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.02227,-0.00019,0.00019,,4.049219,-2.6e-05,2.6e-05,,0.063,89.896,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
TRAPPIST-1 e,TRAPPIST-1,0.00218,-7e-05,7e-05,,0.082,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.02925,-0.0025,0.0025,,6.101013,-3.5e-05,3.5e-05,,0.191,89.793,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
TRAPPIST-1 f,TRAPPIST-1,0.00327,-0.0001,0.0001,,0.093,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.03849,-0.00033,0.00033,,9.20754,-3.2e-05,3.2e-05,,0.312,89.74,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
TRAPPIST-1 g,TRAPPIST-1,0.00416,-0.00012,0.00012,,0.101,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.04683,-0.0004,0.0004,,12.352446,-5.4e-05,5.4e-05,,0.379,89.742,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
TRAPPIST-1 h,TRAPPIST-1,0.00103,-6e-05,6e-05,,0.067,-0.001,0.001,,,1.0,1.0,,nan,False,False,,,0.06189,-0.00053,0.00053,,18.772866,-0.000214,0.000214,,0.378,89.805,2566.0,0.12,0.09,0.5,0.04,[Fe/H],-3.257,1.0,1.4,7.0,,346.6263919,,1.4629024470532752,0.9118845330594314,0.22188967746871105,0.19942966836590623,0.9791281335800243,0.8099499452508236,,,,,,,,,2449.9013671875,,,3096.662109375,-0.6602572798728943,-1.1931740045547485,1,0.1955622136592865
